Датасет,Модель,Тип атаки,ε (доля),Профиль защиты,F1_base,F1_prot,F1_std,ASR_prot,removal_rate,time_ratio,I_score
MNIST,LR,Targeted_LF,0.1000,lf,0.8747,0.8492,0.0031,,0.1000,0.6477,0.6588
MNIST,LR,Targeted_LF,0.1500,auto,0.8747,0.8317,0.0075,,0.1500,0.5224,0.6759
MNIST,LR,Targeted_LF,0.1500,lf,0.8747,0.8317,0.0075,,0.1500,0.5108,0.6782
MNIST,LR,Targeted_LF,0.2000,auto,0.8747,0.8059,0.0094,,0.2000,0.5656,0.6554
MNIST,LR,Targeted_LF,0.2000,lf,0.8747,0.8059,0.0094,,0.2000,0.6071,0.6471
MNIST,LR,Targeted_LF,0.2500,auto,0.8747,0.7863,0.0073,,0.2500,0.4022,0.6792
MNIST,LR,Targeted_LF,0.2500,lf,0.8747,0.7863,0.0073,,0.2500,0.3976,0.6801
MNIST,LR,Targeted_LF,0.3000,auto,0.8747,0.7606,0.0087,,0.3000,0.4275,0.6624
MNIST,LR,Targeted_LF,0.3000,lf,0.8747,0.7606,0.0087,,0.3000,0.3325,0.6814
MNIST,RF,Backdoor,0.0100,auto,0.9586,0.9607,0.0027,0.091995,0.0100,0.7034,0.6234
MNIST,RF,Backdoor,0.0100,backdoor,0.9586,0.9607,0.0027,0.091995,0.0100,0.7116,0.6218
MNIST,RF,Backdoor,0.0500,auto,0.9586,0.9590,0.0027,0.804574,0.0500,0.6300,0.3523
MNIST,RF,Backdoor,0.0500,backdoor,0.9586,0.9590,0.0027,0.804574,0.0500,0.5856,0.3612
MNIST,RF,Backdoor,0.1000,auto,0.9586,0.9589,0.0026,0.95197,0.1000,0.5523,0.3089
MNIST,RF,Backdoor,0.1000,backdoor,0.9586,0.9589,0.0026,0.95197,0.1000,0.5585,0.3076
MNIST,RF,Backdoor,0.1500,auto,0.9586,0.9566,0.0043,0.976112,0.1500,0.4973,0.3093
MNIST,RF,Backdoor,0.1500,backdoor,0.9586,0.9566,0.0043,0.976112,0.1500,0.5005,0.3086
MNIST,RF,Backdoor,0.2000,auto,0.9586,0.9521,0.0036,0.988818,0.2000,0.4844,0.3049
MNIST,RF,Backdoor,0.2000,backdoor,0.9586,0.9521,0.0036,0.988818,0.2000,0.4501,0.3117
MNIST,RF,Backdoor,0.2500,auto,0.9586,0.9458,0.0043,0.99695,0.2500,0.3528,0.3253
MNIST,RF,Backdoor,0.2500,backdoor,0.9586,0.9458,0.0043,0.99695,0.2500,0.3580,0.3243
MNIST,RF,Backdoor,0.3000,auto,0.9586,0.9301,0.0027,0.996442,0.3000,0.4799,0.2936
MNIST,RF,Backdoor,0.3000,backdoor,0.9586,0.9301,0.0027,0.996442,0.3000,0.3069,0.3281
MNIST,RF,Random_LF,0.0100,auto,0.9586,0.9581,0.0024,,0.0100,0.6228,0.6752
MNIST,RF,Random_LF,0.0100,lf,0.9586,0.9581,0.0024,,0.0100,0.7206,0.6557
MNIST,RF,Random_LF,0.0500,auto,0.9586,0.9592,0.0034,,0.0500,0.5868,0.6829
MNIST,RF,Random_LF,0.0500,lf,0.9586,0.9592,0.0034,,0.0500,0.5886,0.6825
