dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
SMS_Spam,RF,Random_LF,0.3,lf,0.886278,0.006793,0.770398,0.015928,0.299978,0.0,-0.1037,0.74421,5572,500
SMS_Spam,GB,Random_LF,0.3,lf,0.918924,0.005124,0.782608,0.016759,0.299978,0.0,0.0204,0.739438,5572,500
SMS_Spam,LR,Targeted_LF,0.01,auto,0.959641,0.002836,0.915719,0.004637,0.010096,0.0,0.8945,0.605175,5572,500
SMS_Spam,RF,Targeted_LF,0.01,auto,0.980269,0.003158,0.955096,0.007666,0.010096,0.0,0.3367,0.733682,5572,500
SMS_Spam,GB,Targeted_LF,0.01,auto,0.963408,0.004067,0.913126,0.010617,0.010096,0.0,0.395,0.721808,5572,500
SMS_Spam,LR,Targeted_LF,0.01,lf,0.959641,0.002836,0.915719,0.004637,0.010096,0.0,0.9046,0.603151,5572,500
SMS_Spam,RF,Targeted_LF,0.01,lf,0.980269,0.003158,0.955096,0.007666,0.010096,0.0,0.3212,0.73678,5572,500
SMS_Spam,GB,Targeted_LF,0.01,lf,0.963408,0.004067,0.913126,0.010617,0.010096,0.0,0.3843,0.723931,5572,500
SMS_Spam,LR,Targeted_LF,0.05,auto,0.956592,0.006482,0.910477,0.011048,0.050079,9e-05,0.9256,0.596766,5572,500
SMS_Spam,RF,Targeted_LF,0.05,auto,0.976323,0.00423,0.94674,0.010548,0.050079,9e-05,0.1716,0.763199,5572,500
SMS_Spam,GB,Targeted_LF,0.05,auto,0.96287,0.003702,0.913742,0.01,0.050079,9e-05,0.2976,0.74155,5572,500
SMS_Spam,LR,Targeted_LF,0.05,lf,0.956592,0.006482,0.910477,0.011048,0.050079,9e-05,1.2429,0.533287,5572,500
SMS_Spam,RF,Targeted_LF,0.05,lf,0.976323,0.00423,0.94674,0.010548,0.050079,9e-05,0.1552,0.766483,5572,500
